EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 111473 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
111473,19500116,10132,    0
111473,19500117,10150,    0
111473,19500118,10260,    0
111473,19500119,10284,    0
111473,19500120,10263,    0
111473,19500121,10287,    0
111473,19500122,10285,    0
111473,19500123,10260,    0
111473,19500124,10216,    0
111473,19500125,10208,    0
111473,19500126,10244,    0
111473,19500127,10240,    0
111473,19500128,10197,    0
111473,19500129,10212,    0
111473,19500130,10221,    0
111473,19500131,10164,    0
111473,19500201,10161,    0
111473,19500202,10173,    0
111473,19500203,10139,    0
111473,19500204,10118,    0
111473,19500205,10078,    0
111473,19500206, 9978,    0
111473,19500207,10177,    0
111473,19500208,10095,    0
111473,19500209,10130,    0
111473,19500210,10041,    0
111473,19500211,10009,    0
111473,19500212,10046,    0
111473,19500213, 9972,    0
111473,19500214,10098,    0
111473,19500215,10218,    0
111473,19500216,10321,    0
111473,19500217,10327,    0
111473,19500218,10284,    0
111473,19500219,10223,    0
111473,19500220,10073,    0
111473,19500221,10122,    0
111473,19500222,10264,    0
111473,19500223,10161,    0
111473,19500224,10073,    0
111473,19500225, 9960,    0
111473,19500226, 9970,    0
111473,19500227,10155,    0
111473,19500228,10189,    0
111473,19500301,10227,    0
111473,19500302,10288,    0
111473,19500303,10289,    0
111473,19500304,10297,    0
111473,19500305,10338,    0
111473,19500306,10360,    0
111473,19500307,10343,    0
111473,19500308,10272,    0
111473,19500309,10192,    0
111473,19500310,10166,    0
111473,19500311,10185,    0
111473,19500312,10118,    0
111473,19500313,10153,    0
111473,19500314,10170,    0
111473,19500315,10172,    0
111473,19500316,10152,    0
111473,19500317,10168,    0
111473,19500318,10198,    0
