EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 115695 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115695,19380607,   23,    0
115695,19380608,   23,    0
115695,19380609,   29,    0
115695,19380610,   26,    0
115695,19380611,   25,    0
115695,19380612,   49,    0
115695,19380613,   83,    0
115695,19380614,   34,    0
115695,19380615,   44,    0
115695,19380616,   36,    0
115695,19380617,   21,    0
115695,19380618,   22,    0
115695,19380619,   44,    0
115695,19380620,   36,    0
115695,19380621,   23,    0
115695,19380622,   23,    0
115695,19380623,   28,    0
115695,19380624,   31,    0
115695,19380625,   43,    0
115695,19380626,   46,    0
115695,19380627,   64,    0
115695,19380628,   88,    0
115695,19380629,  104,    0
115695,19380630,   24,    0
115695,19380701,   30,    0
115695,19380702,   21,    0
115695,19380703,   31,    0
115695,19380704,   71,    0
115695,19380705,   58,    0
115695,19380706,   53,    0
115695,19380707,   48,    0
115695,19380708,   40,    0
115695,19380709,   74,    0
115695,19380710,   52,    0
115695,19380711,   67,    0
115695,19380712,   49,    0
115695,19380713,   20,    0
115695,19380714,   18,    0
115695,19380715,   28,    0
115695,19380716,   21,    0
115695,19380717,   23,    0
115695,19380718,   15,    0
115695,19380719,   22,    0
115695,19380720,   27,    0
115695,19380721,   18,    0
115695,19380722,   30,    0
115695,19380723,   33,    0
115695,19380724,   26,    0
115695,19380725,   19,    0
115695,19380726,   33,    0
115695,19380727,   19,    0
115695,19380728,   31,    0
115695,19380729,   21,    0
